url,category_code,secondary_category,subcategory,comments,,,,,,,,,,,,,,,,,,,,,,
http://www.moragboonpress.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.mukalla-star.com/news/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.mukallatoday.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.mukallatoday.com/home.aspx,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.nabanews.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.newslive-ye.com/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.newsyafa.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.newsyemen.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.newyemen.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.nsowo.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.pulseyemen.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.raynews.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.saadahpress.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.saadaonline.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sabanew.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sadaaden.com/main,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sahtoday.net/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.samaa-news.net/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sanaacalendar.org/ar/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.shaabonline.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.shababyemeni.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.shabwahpress.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.soutalgnoub.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.taiznet.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.topazpress.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.voice-yemen.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ye1.org,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yejournal.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemen-24.com/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemen-press.com/index.html,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemen-today.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenakhbar.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenat.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemeneconomist.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenfox.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemengoal.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemeniamerican.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenipress.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenkooora.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenmirror.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenportal.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenpost.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemensaeed.com/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemensaeed.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemensky.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yementimes.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yementoday.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yementodaytv.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yemenvoice.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yen-news.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ynews24.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yafa-news.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yaman-news.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yaspr.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemen-24.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemen-live.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemencom.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemenisport.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemennation.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemennewsgate.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemennewsgate.net/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemenonline.info/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemensky.com/ ,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yemenstreet.com/ ,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yementalk.net/ ,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yementimes.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://yna-yemen.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://ysupernews.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
https://sahafah.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
www.bawabatii.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://abarahpress.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ansarollah.com/,NEWS,Ansar Allah /Houthi media,,,,,,,,,,,,,,,,,,,,,,,,
